排名,电影名称,导演,主演,Unnamed: 4,Unnamed: 5,上映年份,国家/地区,类型,评分,评价人数,简介
1,肖申克的救赎 ?/?月黑高飞(港)  /  刺激1995(台),导演: 弗兰克·德拉邦特 Frank Darabont,,,主演: 蒂姆·罗宾斯 Tim Robbins /...,1994,美国,犯罪 剧情,9.7,3163715,希望让人自由。
2,霸王别姬 ?/?再见，我的妾  /  Farewell My Concubine,导演: 陈凯歌 Kaige Chen,,,主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,1993,中国大陆 中国香港,剧情 爱情 同性,9.6,2336406,风华绝代。
3,泰坦尼克号 ?/?铁达尼号(港 / 台),导演: 詹姆斯·卡梅隆 James Cameron,,,主演: 莱昂纳多·迪卡普里奥 Leonardo...,1997,美国 墨西哥,剧情 爱情 灾难,9.5,2400223,失去的才是永恒的。
