国家,电影数量
美国,70
日本,17
中国香港,11
中国大陆,9
英国,9
韩国,8
意大利,6
法国,5
中国台湾,3
德国,2
印度,2
黎巴嫩,1
1964(中国大陆),1
新西兰,1
西班牙,1
伊朗,1
丹麦,1
2021,1
瑞典,1
