类型,出现次数
剧情,115
爱情,37
喜剧,33
冒险,32
奇幻,29
犯罪,22
动画,22
惊悚,18
动作,17
悬疑,16
科幻,11
传记,9
家庭,9
战争,8
历史,7
音乐,5
古装,5
同性,4
歌舞,4
灾难,2
西部,2
情色,2
儿童,2
运动,1
1978(中国大陆),1
纪录片,1
中国大陆,1
武侠,1
