movie,平均情感得分,评论数量,rating_num
2001太空漫游,0.8465321562524641,100,4.515463917525773
7号房的礼物,0.8379946990453306,100,3.7142857142857144
一一,0.8845936880108876,100,4.361702127659575
一个叫欧维的男人决定去死,0.8525677014044528,100,3.98
七宗罪,0.8235884776203639,100,3.9072164948453607
七武士,0.8944420379380671,100,4.67
三傻大闹宝莱坞,0.855935066154017,100,4.26
三块广告牌,0.8801832083560126,100,4.072164948453608
上帝之城,0.8488438062494785,100,4.5473684210526315
东京教父,0.8924804511191219,100,4.3979591836734695
东邪西毒,0.8660984922249763,100,4.090909090909091
两杆大烟枪,0.843904912706397,100,4.489795918367347
九品芝麻官,0.8064215737654812,100,4.393939393939394
乱世佳人,0.8661369904051298,100,4.530612244897959
人工智能,0.8827963030074685,100,4.061224489795919
低俗小说,0.729787880080908,100,4.166666666666667
何以为家,0.9300504435755934,100,3.8877551020408165
你的名字。,0.8339530219908542,100,3.9270833333333335
你看起来好像很好吃,0.7330031315843377,100,4.129032258064516
侧耳倾听,0.9344223407237676,100,4.164948453608248
借东西的小人阿莉埃蒂,0.8550915566323877,100,4.040404040404041
倩女幽魂,0.9041780293346313,100,4.21
傲慢与偏见,0.825594195420543,100,3.8617021276595747
入殓师,0.9289340103099747,100,3.9494949494949494
冰川时代,0.8859229967093819,100,4.030612244897959
冰雪奇缘,0.8964556504982889,100,3.878787878787879
初恋这件小事,0.8874667506965741,100,4.030612244897959
剪刀手爱德华,0.8974088608324854,100,4.202020202020202
功夫,0.8462330722263955,100,4.575757575757576
加勒比海盗,0.8826654386546661,100,4.1020408163265305
勇敢的心,0.848943437616122,100,3.8958333333333335
十二怒汉,0.8761951647315219,100,4.707070707070707
千与千寻,0.8903610929490927,100,4.540816326530612
千年女优,0.904247363539706,100,4.3232323232323235
千钧一发,0.8887338213042049,100,4.326530612244898
卢旺达饭店,0.9003023476075456,100,3.989795918367347
可可西里,0.7956807096139336,100,4.0606060606060606
告白,0.793925566318761,100,3.8556701030927836
哈利·波特与凤凰社,0.7837924261372868,100,3.505050505050505
哈利·波特与密室,0.9070393843690073,100,3.95
哈利·波特与死亡圣器(上),0.7984995509622544,100,3.75531914893617
哈利·波特与死亡圣器(下),0.9231507796357019,100,4.416666666666667
哈利·波特与火焰杯,0.917506046097464,100,3.78
哈利·波特与阿兹卡班的囚徒,0.9308098664065961,100,4.346938775510204
哈利·波特与魔法石,0.9319638442691849,100,4.2
哈尔的移动城堡,0.9017524186390266,100,3.91
哪吒闹海,0.9192428849191345,100,4.767676767676767
唐伯虎点秋香,0.7781724677238993,100,4.082474226804123
喜剧之王,0.85738775582428,100,4.061224489795919
喜宴,0.9143895805776439,100,4.112244897959184
城市之光,0.9413494224337771,100,4.67
大佛普拉斯,0.9037767434566413,100,4.0
大红灯笼高高挂,0.895514989465128,100,4.373737373737374
大话西游之大圣娶亲,0.830141635275671,100,4.040816326530612
大话西游之月光宝盒,0.8309079706467625,100,4.153061224489796
大闹天宫,0.8688593420599888,100,4.663157894736842
大鱼,0.91511498214681,100,3.948453608247423
天书奇谭,0.84982155566123,100,4.377551020408164
天使爱美丽,0.8427805431645016,100,4.175257731958763
天堂电影院,0.9207896571189608,100,4.37
天空之城,0.9428872979721725,100,4.515151515151516
头号玩家,0.8681942377921623,100,4.303030303030303
头脑特工队,0.9263305444597937,100,4.5
奇迹男孩,0.9259122104034863,100,3.89
完美的世界,0.909433063466686,100,4.082474226804123
寄生虫,0.8088082255450797,100,4.01010101010101
寻梦环游记,0.8750237177482774,100,4.161616161616162
射雕英雄传之东成西就,0.7237434644171864,100,3.873684210526316
小丑,0.8683930833843704,100,3.905263157894737
小偷家族,0.9397076759812386,100,4.202020202020202
小森林 冬春篇,0.8851542406970477,100,4.070707070707071
小森林 夏秋篇,0.840040601411561,100,3.98
小鞋子,0.9386170786322572,100,4.4646464646464645
