排名,电影名称,导演,主演,Unnamed: 4,Unnamed: 5,上映年份,国家/地区,类型,评分,评价人数,简介,主要国家
53,大闹天宫 ?/?大闹天宫 上下集  /  The Monkey King,导演:,,,主演: 邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...,1961(中国大陆),1964(中国大陆),['1978(中国大陆)'],9.4,488906,,1964(中国大陆)
54,黑客帝国 ?/?22世纪杀人网络(港)  /  廿二世纪杀人网络(港),导演:,,,主...,1999,美国,"['动作', '科幻']",9.1,914764,,美国
55,指环王1：护戒使者 ?/?指环王1：魔戒再现  /  指环王I：护戒使者,导演:,,,主演: 伊利亚·伍德 Elijah Wood / 西恩...,2001,新西兰 美国,"['剧情', '动作', '奇幻', '冒险']",9.1,926205,,新西兰
56,罗马假日 ?/?金枝玉叶(港)  /  罗马假期(台),导演:,,,主演: 奥黛丽·赫本 Audrey Hepburn / 格...,1953,美国,"['喜剧', '剧情', '爱情']",9.1,1018192,,美国
57,教父2 ?/?教父续集(港)  /  教父II,导演:,,,主演: 阿尔·帕西诺 A...,1974,美国,"['剧情', '犯罪']",9.3,612151,,美国
58,狮子王 ?/?狮子王3D,导演:,,,主演: 乔纳森·泰勒·托马...,1994,美国,"['动画', '冒险', '歌舞']",9.1,927071,,美国
59,天堂电影院 ?/?星光伴我心(港)  /  新天堂乐园(台),导演:,,,主演: 菲利普·努瓦雷 Philipp...,1988,意大利 法国,"['剧情', '爱情']",9.2,722347,,意大利
60,饮食男女 ?/?Eat Drink Man Woman,导演:,,,主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,1994,中国台湾 美国,"['剧情', '家庭']",9.2,690201,,中国台湾
61,辩护人 ?/?逆权大状(港)  /  正义辩护人(台),导演:,,,主演: 宋康昊 Kang-ho Song / 金英爱 Yeong-ae...,2013,韩国,['剧情'],9.2,640844,电影的现实意义大过电影本身。,韩国
62,搏击俱乐部 ?/?搏击会(港)  /  斗阵俱乐部(台),导演:,,,主演: 爱德华·诺顿 Edward Norton / 布拉...,1999,美国,"['剧情', '动作', '悬疑', '惊悚']",9.0,930746,,美国
63,本杰明·巴顿奇事 ?/?奇幻逆缘(港)  /  班杰明的奇幻旅程(台),导演:,,,主演: 凯特·布兰切特 Cate Blanchett / ...,2008,美国,"['剧情', '爱情', '奇幻']",9.0,1068426,在时间之河里感受溺水之苦。,美国
64,美丽心灵 ?/?有你终生美丽(港)  /  美丽境界(台),导演:,,,主演: 罗素·克劳 Russell Crowe / 艾德·哈...,2001,美国,"['传记', '剧情']",9.1,831167,,美国
65,穿条纹睡衣的男孩 ?/?穿条纹衣服的男孩  /  穿条纹衣的男孩,导演:,,,主演: 阿萨·巴特菲尔德 Asa Butterfield ...,2008,英国 美国,"['剧情', '战争']",9.2,621091,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,英国
66,情书 ?/?When I Close My Eyes  /  Letters of Love,导演:,,,主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...,1995,日本,"['剧情', '爱情']",8.9,1253028,,日本
67,窃听风暴 ?/?窃听者(港)  /  他人的生活,导演:,,&n...,,2006,德国,"['剧情', '悬疑']",9.2,614316,别样人生。,德国
68,两杆大烟枪 ?/?够姜四小强(港)  /  两根枪管(台),导演:,,,主演: 杰森·弗莱明 Jason Flemyng / 德克斯特...,1998,英国,"['剧情', '喜剧', '犯罪']",9.1,653010,,英国
69,哈利·波特与死亡圣器(下) ?/?哈利波特7：死神的圣物2(港 / 台) ,导演:,,,主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...,2011,美国 英国,"['奇幻', '冒险']",9.0,934021,10年的完美句点。,美国
70,音乐之声 ?/?仙乐飘飘处处闻(港)  /  真善美(台),导演:,,,主演: 朱莉·安德鲁斯 Julie Andrews / 克...,1965,美国,"['剧情', '传记', '爱情', '歌舞']",9.1,660685,,美国
71,西西里的美丽传说 ?/?真爱伴我行(台)  /  玛莲娜,导演:,,,主演: 莫妮卡·贝鲁奇 Monica ...,2000,意大利 美国,"['剧情', '战争', '情色']",8.9,1061659,,意大利
72,功夫 ?/?功夫3D  /  Kung Fu Hustle,导演:,,,主演: 周星驰 Stephen Chow / 元秋 Qiu Yuen / ...,2004,中国大陆 中国香港,"['动作', '喜剧', '犯罪', '奇幻']",8.9,1278142,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,中国大陆
73,阿凡达 ?/?,导演:,,,主演: 萨姆·沃辛顿 Sam Worthington ...,2009,美国,"['动作', '科幻', '冒险']",8.8,1529301,绝对意义上的美轮美奂。,美国
74,哈利·波特与阿兹卡班的囚徒 ?/?哈利波特3：阿兹卡班的逃犯(港 / 台) ,导演:,,,主演: 丹尼尔·雷德克里夫 Daniel Rad...,2004,英国 美国,"['奇幻', '冒险']",9.0,851043,不一样的导演，不一样的哈利·波特。,英国
75,看不见的客人 ?/?死无对证(港)  /  布局(台),导演:,,,主演: 马里奥·卡萨斯 Mario Casas / 阿...,2016,西班牙,"['剧情', '犯罪', '悬疑', '惊悚']",8.8,1393524,你以为你以为的就是你以为的。,西班牙
76,拯救大兵瑞恩 ?/?雷霆救兵(港)  /  抢救雷恩大兵(台),导演:,,,主演: 汤姆·汉克斯 Tom Hanks...,1998,美国,"['剧情', '战争']",9.1,701731,,美国
77,小鞋子 ?/?天堂的孩子  /  小童鞋,导演:,,,主演: 默罕默德·阿米尔·纳吉 Mohamma...,1997,伊朗,"['剧情', '儿童', '家庭']",9.2,448222,,伊朗
78,沉默的羔羊 ?/?沉默的羔羊,导演:,,,主演: 朱迪·福斯特 Jodie Foster / 安...,1991,美国,"['剧情', '犯罪', '惊悚']",8.9,980265,,美国
