年代,电影数量,平均评分,平均评价人数
1920s,0,,
1930s,2,9.3,546958.0
1940s,0,,
1950s,3,9.366666666666667,746185.3333333334
1960s,1,9.1,660685.0
1970s,4,9.225,639628.5
1980s,7,9.142857142857142,878831.2857142857
1990s,42,9.07857142857143,1099283.3333333333
2000s,46,9.032608695652174,1000139.5434782609
2010s,41,8.980487804878049,1107674.731707317
